,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,pass_success,total_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
116,2,0,0.7478991596638656,0,3,3,7,14,0.5833333333333334,0,0.0,0,0,10,0,20,24,36,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,7.0
117,0,0,0.7478991596638656,0,0,0,4,27,0.7941176470588235,0,0.0,0,0,6,0,13,34,39,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5.0
118,0,0,0.7478991596638656,1,3,2,6,13,0.4814814814814815,0,0.0,0,0,3,0,17,27,39,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5.3
119,1,0,0.7478991596638656,0,3,0,3,21,0.75,0,0.0,0,0,6,0,13,28,35,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6.4
120,0,0,0.7478991596638656,0,3,1,3,12,0.6666666666666666,0,0.0,0,0,8,0,14,18,24,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6.0
121,3,0,0.7478991596638656,1,4,1,2,23,0.7931034482758621,0,0.0,0,0,1,0,7,29,36,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7.2
122,2,0,0.7478991596638656,0,5,3,10,13,0.6842105263157895,0,0.0,0,0,7,0,13,19,35,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8.3
123,2,2,0.7478991596638656,0,5,3,5,12,0.4615384615384616,0,0.0,0,0,5,0,19,26,40,0,0,2,0,0,0,0,1,0,0,8,1,1,0,0,0,0,0,7.1
124,1,0,0.7478991596638656,0,7,5,6,23,0.8846153846153846,0,0.0,0,0,5,0,8,26,42,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5.9
125,2,0,0.7478991596638656,1,2,2,5,21,0.5675675675675675,0,0.0,0,0,14,0,30,37,46,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5.9
126,1,0,0.7478991596638656,0,3,3,9,17,0.6538461538461539,0,0.0,0,0,8,0,17,26,40,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5.5
127,0,0,0.7478991596638656,0,1,1,3,29,0.8055555555555556,0,0.0,0,0,7,0,13,36,40,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.8
128,1,0,0.7478991596638656,0,2,1,2,4,0.2,0,0.0,0,0,3,0,19,20,24,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3.9
129,1,0,0.7478991596638656,1,2,2,3,10,0.4545454545454545,0,0.0,0,0,7,0,19,22,30,0,1,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5.3
130,1,0,0.7478991596638656,1,3,1,4,10,0.4761904761904762,0,0.0,0,0,9,0,20,21,30,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,5.4
131,1,0,0.7478991596638656,1,1,0,5,9,0.3333333333333333,0,0.0,0,0,8,0,26,27,35,0,1,1,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,4.9
132,2,0,0.7478991596638656,0,3,3,3,17,0.8095238095238095,0,0.0,0,0,0,0,3,21,28,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6.5
133,0,0,0.7478991596638656,0,2,2,5,22,0.8461538461538461,0,0.0,0,0,5,0,8,26,33,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6.5
134,1,0,0.09243697478991596,0,2,1,0,0,0.0,0,0.0,0,0,0,0,9,9,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5.0
135,2,0,0.6302521008403361,0,2,1,9,28,0.8235294117647058,0,0.0,0,0,4,0,10,34,47,0,0,1,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,6.5
136,0,0,0.7478991596638656,0,1,0,4,24,0.8888888888888888,0,0.0,0,0,4,0,6,27,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.1
137,3,2,0.7478991596638656,0,7,5,0,10,0.3125,0,0.0,0,0,8,0,30,32,42,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6.7
138,2,0,0.7478991596638656,1,4,3,5,14,0.5,0,0.0,0,0,7,0,21,28,39,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,6.3
