player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
556972,Sasa Lukic,Midfielder,,,,90,,,,,28,0,0,0,68%,1,1,0%,0,0,0,4,2,0,9,41,70,5,1,4,3,1,0,11,5,1,5,8,4,2,0,0,,1,,6.5
682548,Ola Aina,Defender,,,,90,,,,,17,0,0,0,59%,1,1,0%,0,0,0,0,1,0,4,29,72,0,2,2,1,2,0,6,5,1,5,5,2,1,1,0,,,,7
187360,Simone Verdi,Attacker,,,,62,,,,,12,0,0,0,75%,1,0,0%,1,0,0,1,3,0,2,16,34,0,1,0,2,4,3,4,7,0,0,6,2,1,1,0,1,,,7.1
574629,Alex Berenguer,Midfielder,,,,81,,,,,10,0,0,1,59%,1,0,100%,0,1,0,1,1,1,1,17,35,4,2,1,2,3,1,11,4,3,1,3,0,0,2,0,1,,,7.2
309726,Andrea Belotti,Attacker,,,,90,,,,,12,1,0,0,60%,3,1,0%,1,0,0,1,0,2,2,20,50,6,7,0,6,7,2,23,13,3,1,4,2,0,4,0,,,,6.3
108401,Mato Jajalo,Midfielder,,,,15,,,,,4,0,0,0,80%,0,0,0%,0,0,0,0,0,1,0,5,10,1,0,0,0,1,1,4,2,2,0,1,1,0,0,1,0,,,6.2
470847,Ignacio Pussetto,Attacker,,,,28,,,,,4,0,0,0,67%,1,0,0%,1,0,0,0,0,1,0,6,17,3,1,1,2,1,0,8,1,1,1,3,0,0,0,1,0,,,5.5
206694,Lukasz Teodorczyk,Attacker,,,,5,,,,,1,0,0,0,33%,1,0,100%,0,1,0,0,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,
389050,Juan Musso,Keeper,0,3,0,90,0,3,2,6,17,,,,,0,0,0%,0,0,0,3,0,0,10,24,33,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,8
844504,Rodrigo Becao,Defender,,,,90,,,,,29,0,0,0,76%,0,0,0%,0,0,0,1,0,0,8,38,49,0,1,2,0,0,0,2,3,1,5,3,1,0,1,0,,,,7.3
466884,William Troost-Ekong,Defender,,,,90,,,,,17,0,0,0,77%,0,0,0%,0,0,0,1,0,1,4,22,36,0,3,7,0,0,0,1,6,1,0,2,2,1,1,0,,,,7.4
178758,Bram Nuytinck,Defender,,,,90,,,,,32,0,0,0,74%,0,0,0%,0,0,0,6,0,0,13,43,62,2,2,7,0,0,0,2,5,0,3,5,3,3,0,0,,,,7.7
160887,Jens Stryger Larsen,Defender,,,,90,,,,,19,0,0,0,70%,0,0,0%,0,0,0,0,4,1,3,27,50,1,0,3,0,0,0,2,3,0,0,3,3,3,0,0,,,,7.3
324578,Rodrigo De Paul,Midfielder,,,,90,,,,,33,0,1,1,89%,4,0,50%,2,2,0,3,4,1,4,37,58,0,0,0,0,2,2,7,7,2,0,7,2,1,3,0,,,,8.3
577911,Rolando Mandragora,Midfielder,,,,75,,,,,28,1,0,0,93%,1,0,100%,0,1,0,2,6,3,2,30,46,0,0,2,0,0,0,3,1,0,2,7,0,0,1,0,1,,,8
602211,Seko Fofana,Midfielder,,,,90,,,,,35,2,0,0,92%,2,1,50%,0,1,0,1,0,3,1,38,50,1,0,0,2,3,2,9,3,0,1,14,0,0,1,0,,,,8.3
520670,Ken Sema,Midfielder,,,,90,,,,,20,0,0,1,80%,1,0,100%,0,1,0,0,6,1,1,25,52,1,0,4,2,1,1,4,2,1,1,2,0,0,1,0,,,,7.8
27696,Stefano Okaka Chuka,Attacker,,,,85,,,,,15,0,0,1,71%,3,0,33%,2,1,0,0,0,0,0,21,40,1,6,2,1,3,2,8,12,5,0,3,2,2,2,0,1,,,8.2
299886,Kevin Lasagna,Attacker,,,,62,,,,,6,0,0,0,75%,1,0,100%,0,1,0,1,0,0,1,8,18,3,1,2,0,2,0,5,2,0,0,2,0,0,1,0,1,,,6.5
260964,Berat Djimsiti,Defender,,,,45,,,,,33,0,0,0,85%,1,1,0%,0,0,0,2,0,0,2,39,51,2,4,1,0,1,1,2,8,0,0,2,1,1,2,1,0,,,6.5
459658,Ruslan Malinovsky,Midfielder,,,,31,,,,,26,0,0,0,100%,1,1,0%,0,0,0,2,3,1,2,26,33,0,0,0,0,2,1,1,1,0,0,1,0,0,0,1,0,,,6.3
196484,Luis Muriel,Attacker,,,,24,,,,,5,0,0,0,71%,0,0,0%,0,0,0,0,2,0,0,7,14,0,0,0,0,0,0,1,2,0,0,1,1,0,1,1,0,,,5.8
212630,Marco Sportiello,Keeper,0,1,2,90,0,3,1,6,20,,,,,0,0,0%,0,0,0,3,0,0,10,27,37,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,,,5.8
127374,Rafael Toloi,Defender,,,,90,,,,,50,0,0,0,78%,0,0,0%,0,0,0,1,0,0,8,64,81,2,0,5,0,1,0,6,2,1,1,5,1,0,1,0,,,,6
501570,Mattia Caldara,Defender,,,,66,,,,,20,0,0,0,71%,1,0,0%,1,0,0,2,0,0,6,28,35,0,2,2,0,0,0,1,4,1,0,4,2,2,0,0,1,,,6.3
185625,José Luis Palomino,Defender,,,,90,,,,,48,0,0,0,89%,1,0,0%,1,0,0,4,1,0,5,54,71,0,5,3,1,1,0,7,10,2,0,11,4,2,1,0,,1,,6.3
198559,Marten de Roon,Midfielder,,,,90,,,,,54,0,0,0,81%,2,1,0%,1,0,0,0,3,2,7,67,89,1,1,1,2,2,1,8,6,3,1,8,3,2,1,0,,1,,6.5
201704,Remo Freuler,Midfielder,,,,45,,,,,24,0,0,0,83%,0,0,0%,0,0,0,1,0,1,1,29,34,1,0,0,1,0,0,4,1,2,0,5,1,1,0,0,1,,,5.6
